CÓDIGO	                 INSTITUCIÓN
MIHSV111100100-0X	Asamblea Legislativa (AL)
MIHSV111200200-0X	Corte Suprema De Justicia (CSJ)	
MIHSV112201501-0X	Autoridad De Aviación Civil (AAC)	
MIHSV112201503-0X	Autoridad Marítima Portuaria (AMP)	
MIHSV211101505-0X	Administración Nacional De Acueductos Y Alcantarillados (ANDA)	
MIHSV112100901-0X	Academia Nacional De Seguridad Pública (ANSP)	
MIHSV223109500-0X	Banco De Desarrollo De El Salvador (BANDESAL)	
MIHSV222109000-0X	Banco Central De Reserva De El Salvador (BCR)	
MIHSV223109400-0X	Banco De Fomento Agropecuario (BFA)	
MIHSV223109600-0X	Banco Hipotecario De El Salvador (BH)	
MIHSV112201004-0X	Caja Mutual De Los Empleados Del Ministerio De Educación (CAJAMINED)	
MIHSV221100201-0X	Caja Mutual Del Abogado De El Salvador (CAMUDASAL)	
MIHSV111502300-0X	Corte De Cuentas De La República (CCR)	
MIHSV211200701-0X	Centro Farmacéutico De La Fuerza Armada (CEFAFA)	
MIHSV211101315-0X	Comisión Ejecutiva Hidroeléctrica Del Río Lempa (CEL)	
MIHSV112101402-0X	Centro Nacional De Tecnología Agropecuaria Y Forestal (CENTA)	
MIHSV211101506-0X	Comisión Ejecutiva Portuaria Autónoma (CEPA)	
MIHSV211101301-0X	Centro Internacional De Ferias y Convenciones De El Salvador (CIFCO)	
MIHSV112101311-0X	Consejo Nacional De Calidad (CNC)	
MIHSV112101310-0X	Consejo Nacional De Energía (CNE)	
MIHSV111502400-0X	Consejo Nacional De La Judicatura (CNJ)	
MIHSV211101305-0X	Centro Nacional De Registros (CNR)	
MIHSV122175001-0X	Corporación De Municipalidades de El Salvador (COMURES)	
MIHSV112200903-0X	Consejo Nacional de Administración de Bienes (CONAB)	
MIHSV112101313-0X	Comisiónpequeña Empresanacional  De  La  Micro  Y (CONAMYPE)	
MIHSV112101003-0X	Consejo Nacional De La Niñez Y De La Adolescencia  (CONNA)	
MIHSV112201307-0X	Consejo Salvadoreño De La Agroindustria Azucarera (CONSAA)	
MIHSV221101304-0X	Corporación Salvadoreña De Inversiones (CORSAIN)	
MIHSV112101702-0X	Corporaciónturismo      Salvadoreña De (CORSATUR)	
MIHSV112101404-0X	Consejo Salvadoreño Del Café (CSC)	
MIHSV112101131-0X	Consejo Superior De Salud Pública (CSSP)	
MIHSV112101302-0X	Consejo  de Vigilancia de la Profesión de Contaduría Pública y Auditoría (CVPCPA)	
MIHSV112101309-0X	Defensoría Del Consumidor (DC)	
MIHSV111300700-0X	Ministerio De La Defensa Nacional  (DEFENSA)	
MIHSV112201136-0X	Dirección Nacional De Medicamentos (DNM)	
MIHSV112101403-0X	Escuela Nacional De Agricultura (ENA)	
MIHSV112201316-0X	Fondos Provenientes De La Privatización De Antel (FANTEL)	
MIHSV112201405-0X	Fondo De Emergencia Para El Café (FEC)	
MIHSV111402000-0X	Fiscalía General De La República (FGR)	
MIHSV112101306-0X	Fondo De Inversión Nacional en Electricidad Y Telefonía (FINET)	
MIHSV112100303-0X	Fondo De Inversión Social Para El Desarrollo Local (FISDL)	
MIHSV112200304-0X	Fondo Del Milenio (FOMILENIO)	
MIHSV112101601-0X	Fondo Ambiental De El Salvador (FONAES)	
MIHSV112101504-0X	Fondo para la Atención a las Víctimas de Accidentes de Tránsito (FONAT)	
MIHSV221101508-0X	Fondo Nacional De Vivienda Popular (FONAVIPO)	
MIHSV112101202-0X	Fondo De Protección De Lisiados y Discapacitados A Consecuencia Del Conflicto Armado (FOPROLYD)
MIHSV112101135-0X	Fondo Solidario Para La Salud (FOSALUD)	
MIHSV112200401-0X	Fondo Salvadoreño para Estudios de Preinversión (FOSEP)	
MIHSV221100305-0X	Fondo Solidario Para la Familia Microempresaria (FOSOFAMILIA)	
MIHSV112101502-0X	Fondo De Conservación Vial (FOVIAL)	
MIHSV221101507-0X	Fondo Social Para La Vivienda (FSV)	
MIHSV112301102-0X	Hospital Nacional Benjamín Bloom (HNBB)	
MIHSV112301101-0X	Hospital Nacional Rosales (HNR)	
MIHSV111502800-0X	Instituto de Acceso a la Información Pública (IAIP)	
MIHSV112100301-0X	Institutode El Salvadornacional De Los Deportes (INDES)	
MIHSV113200402-0X	Instituto Nacional De Pensiones De Los Empleados Públicos (INPEP)	
MIHSV112101314-0X	Instituto Salvadoreño De Fomento Cooperativo (INSAFOCOOP)	
MIHSV112201201-0X	Instituto Salvadoreño De Formación Profesional (INSAFORP)	
MIHSV113200702-0X	Instituto De Previsión Social de la Fuerza Armada (IPSFA)	
MIHSV113201005-0X	Instituto Salvadoreño De Bienestar Magisterial (ISBM)	
MIHSV112100801-0X	Instituto Salvadoreño De Desarrollo Municipal (ISDEM)	
MIHSV112100302-0X	Instituto Salvadoreño de Desarrollo de la Mujer (ISDEMU)	
MIHSV112101002-0X	Instituto Salvadoreño Para el Desarrollo Integral de la Niñez y la Adolescencia (ISNA)	
MIHSV112101132-0X	Instituto Salvadoreño De Rehabilitación Integral (ISRI)	
MIHSV113201204-0X	Instituto Salvadoreño Del Seguro Social (ISSS)	
MIHSV112101401-0X	Instituto Salvadoreño De Transformación Agraria (ISTA)	
MIHSV112101701-0X	Instituto Salvadoreño De Turismo (ISTU)	
MIHSV211200403-0X	Lotería Nacional De Beneficencia (LNB)	
MIHSV111301400-0X	Ministerio De Agricultura Y Ganadería (MAG)	
MIHSV111301600-0X	Ministerio de Medio Ambiente y Recursos Naturales (MARN)	
MIHSV111300400-0X	Ministerio De Hacienda (MH)	
MIHSV111300800-0X	Ministerio de Gobernación y Desarrollo Territorial (MIGOBDT)	
MIHSV111301300-0X	Ministerio De Economía (MINEC)	
MIHSV111301000-0X	Ministerio De Educación (MINED)	
MIHSV111301100-0X	Ministerio De Salud (MINSAL)	
MIHSV111301700-0X	Ministerio De Turismo (MITUR)	
MIHSV111300900-0X	Ministerio De Justicia Y Seguridad Pública (MJSP)	
MIHSV111301500-0X	Ministerio de Obras Públicas,Transporte,  Vivienda y Desarrollo Urbano (MOPTVDU)	
MIHSV111300600-0X	Ministerio De Relaciones Exteriores (MRREE)	
MIHSV111301200-0X	Ministerio De Trabajo Y Previsión Social (MTPS)	
